number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_learning_rate,params_n_heads,state
0,0.5098835384288569,2024-09-09 14:52:44.757362,2024-09-09 14:58:28.767542,0 days 00:05:44.010180,64,256,64,0.4,2,0.2,0.2,1.6091402617402426e-07,4,COMPLETE
1,0.5425903156852555,2024-09-09 14:58:28.782919,2024-09-09 15:12:15.751380,0 days 00:13:46.968461,32,256,16,0.3,3,0.3,0.2,4.437329256759394e-07,8,COMPLETE
2,0.6929874827875289,2024-09-09 15:12:15.763734,2024-09-09 15:30:57.537487,0 days 00:18:41.773753,32,64,128,0.4,2,0.1,0.1,3.903293103883172e-05,2,COMPLETE
3,0.5498969622596418,2024-09-09 15:30:57.549392,2024-09-09 15:56:46.896011,0 days 00:25:49.346619,64,256,16,0.3,3,0.2,0.1,2.184270988309521e-06,8,COMPLETE
4,0.5518806639935967,2024-09-09 15:56:46.909319,2024-09-09 16:09:42.455088,0 days 00:12:55.545769,16,64,64,0.5,3,0.3,0.1,4.45489348877382e-07,16,COMPLETE
5,0.5352016372236995,2024-09-09 16:09:42.467682,2024-09-09 16:16:27.718637,0 days 00:06:45.250955,64,128,128,0.5,2,0.2,0.2,1.8095714513347875e-06,4,COMPLETE
6,0.5482652152554653,2024-09-09 16:16:27.731392,2024-09-09 16:44:02.957930,0 days 00:27:35.226538,32,64,64,0.4,2,0.2,0.2,2.6805399586404343e-06,2,COMPLETE
7,0.5472257100262882,2024-09-09 16:44:02.971293,2024-09-09 17:00:44.580080,0 days 00:16:41.608787,64,256,16,0.5,3,0.1,0.0,2.944355827470382e-06,8,COMPLETE
8,0.6424818012495401,2024-09-09 17:00:44.592663,2024-09-09 17:27:47.665006,0 days 00:27:03.072343,64,256,128,0.5,4,0.1,0.2,3.993487198551215e-06,16,COMPLETE
9,0.5399860403539984,2024-09-09 17:27:47.677735,2024-09-09 17:44:20.513096,0 days 00:16:32.835361,16,128,16,0.3,3,0.1,0.1,1.3327825791255385e-06,8,COMPLETE
10,0.7213086362032798,2024-09-09 17:44:20.526302,2024-09-09 18:15:04.379347,0 days 00:30:43.853045,32,64,128,0.4,4,0.1,0.0,6.580721162036011e-05,2,COMPLETE
11,0.7084114928096443,2024-09-09 18:15:04.392234,2024-09-09 18:33:36.299277,0 days 00:18:31.907043,32,64,128,0.4,4,0.1,0.0,6.367470008949651e-05,2,COMPLETE
12,0.7278097818046635,2024-09-09 18:33:36.312036,2024-09-09 18:55:48.764768,0 days 00:22:12.452732,32,64,128,0.4,4,0.1,0.0,9.908501094206982e-05,2,COMPLETE
13,0.7016467071546979,2024-09-09 18:55:48.777585,2024-09-09 19:26:42.409693,0 days 00:30:53.632108,32,64,128,0.4,4,0.1,0.0,1.8349108407189763e-05,2,COMPLETE
14,0.6870528550890117,2024-09-09 19:26:42.422878,2024-09-09 19:57:36.411730,0 days 00:30:53.988852,32,64,128,0.4,4,0.1,0.0,1.3067675394795354e-05,2,COMPLETE
15,0.7294974811943084,2024-09-09 19:57:36.423839,2024-09-09 20:10:42.386013,0 days 00:13:05.962174,32,64,128,0.3,4,0.2,0.0,8.367536396452989e-05,2,COMPLETE
16,0.7014336850430738,2024-09-09 20:10:42.398804,2024-09-09 20:49:55.127065,0 days 00:39:12.728261,16,128,128,0.3,4,0.3,0.0,1.6395874196366952e-05,2,COMPLETE
17,0.7348946340713991,2024-09-09 20:49:55.140168,2024-09-09 21:21:08.491781,0 days 00:31:13.351613,32,64,128,0.3,4,0.2,0.0,8.95941645233439e-05,2,COMPLETE
18,0.7429134881286108,2024-09-09 21:21:08.504817,2024-09-09 21:52:24.885408,0 days 00:31:16.380591,32,64,128,0.3,4,0.2,0.1,3.123801562927322e-05,4,COMPLETE
19,0.5524541759446469,2024-09-09 21:52:24.898270,2024-09-09 22:22:19.206497,0 days 00:29:54.308227,32,64,64,0.3,3,0.2,0.1,8.489903678139351e-06,4,COMPLETE
20,0.7648126827935984,2024-09-09 22:22:19.219164,2024-09-09 23:01:56.812942,0 days 00:39:37.593778,16,128,128,0.3,4,0.3,0.1,3.3915180943186225e-05,4,COMPLETE
21,0.7631664735202965,2024-09-09 23:01:56.825854,2024-09-09 23:41:40.129405,0 days 00:39:43.303551,16,128,128,0.3,4,0.3,0.1,2.887141668025436e-05,4,COMPLETE
22,0.7677735360390263,2024-09-09 23:41:40.141669,2024-09-10 00:21:21.779564,0 days 00:39:41.637895,16,128,128,0.3,4,0.3,0.1,3.349049200074358e-05,4,COMPLETE
23,0.6892779107568936,2024-09-10 00:21:21.791825,2024-09-10 01:01:17.454531,0 days 00:39:55.662706,16,128,128,0.3,4,0.3,0.1,6.552139437704164e-06,4,COMPLETE
24,0.7630329938888615,2024-09-10 01:01:17.467615,2024-09-10 01:41:12.915104,0 days 00:39:55.447489,16,128,128,0.3,4,0.3,0.1,2.9638905856553356e-05,4,COMPLETE
25,0.7254993750403047,2024-09-10 01:41:12.927578,2024-09-10 02:12:30.457409,0 days 00:31:17.529831,16,128,128,0.3,3,0.3,0.1,3.647303053988596e-05,4,COMPLETE
26,0.7151352625210059,2024-09-10 02:12:30.470363,2024-09-10 02:52:46.116726,0 days 00:40:15.646363,16,128,128,0.3,4,0.3,0.1,9.24654995465907e-06,4,COMPLETE
27,0.7465342713102721,2024-09-10 02:52:46.129813,2024-09-10 03:33:02.819808,0 days 00:40:16.689995,16,128,128,0.3,4,0.3,0.1,2.1402911874643167e-05,4,COMPLETE
28,0.540486766786664,2024-09-10 03:33:02.832962,2024-09-10 03:43:36.704653,0 days 00:10:33.871691,16,128,16,0.3,3,0.3,0.1,4.913147980584923e-06,4,COMPLETE
29,0.7516542702101914,2024-09-10 03:43:36.717887,2024-09-10 04:23:52.497894,0 days 00:40:15.780007,16,128,64,0.3,4,0.3,0.2,4.852813329249062e-05,4,COMPLETE
30,0.7117508544593103,2024-09-10 04:23:52.510422,2024-09-10 05:04:14.932479,0 days 00:40:22.422057,16,128,64,0.3,4,0.3,0.1,1.1398841806297263e-05,16,COMPLETE
31,0.7587992238740294,2024-09-10 05:04:14.945582,2024-09-10 05:44:45.939850,0 days 00:40:30.994268,16,128,128,0.3,4,0.3,0.1,2.372069261957043e-05,4,COMPLETE
32,0.7654366941433974,2024-09-10 05:44:45.952627,2024-09-10 06:25:17.247332,0 days 00:40:31.294705,16,128,128,0.3,4,0.3,0.1,2.677102326923544e-05,4,COMPLETE
33,0.7722658487502703,2024-09-10 06:25:17.259753,2024-09-10 07:05:55.721664,0 days 00:40:38.461911,16,128,128,0.3,4,0.3,0.1,4.778547275847806e-05,4,COMPLETE
34,0.7249617816756886,2024-09-10 07:05:55.735060,2024-09-10 07:28:47.458875,0 days 00:22:51.723815,16,128,128,0.3,3,0.3,0.1,4.995027340915396e-05,4,COMPLETE
35,0.7360714123140768,2024-09-10 07:28:47.473011,2024-09-10 08:06:09.816875,0 days 00:37:22.343864,16,128,16,0.3,4,0.3,0.1,5.123150895178899e-05,4,COMPLETE
36,0.5634887687440491,2024-09-10 08:06:09.830115,2024-09-10 08:16:12.561430,0 days 00:10:02.731315,16,256,128,0.3,3,0.3,0.2,6.795282541015967e-07,4,COMPLETE
37,0.7282039379099224,2024-09-10 08:16:12.574721,2024-09-10 08:57:05.983168,0 days 00:40:53.408447,16,128,128,0.4,4,0.3,0.1,1.4531060750404141e-05,16,COMPLETE
38,0.6226115918169162,2024-09-10 08:57:05.995584,2024-09-10 09:18:39.963627,0 days 00:21:33.968043,64,128,64,0.3,2,0.3,0.1,3.812650079360034e-05,8,COMPLETE
39,0.6563154358406323,2024-09-10 09:18:39.976823,2024-09-10 09:59:35.502181,0 days 00:40:55.525358,16,256,16,0.4,4,0.3,0.2,6.14751006385837e-06,4,COMPLETE
40,0.5465240528873327,2024-09-10 09:59:35.514829,2024-09-10 10:13:48.262767,0 days 00:14:12.747938,64,128,128,0.3,3,0.2,0.1,2.0186303957660825e-05,4,COMPLETE
41,0.6200375449989947,2024-09-10 10:13:48.276067,2024-09-10 10:54:58.821403,0 days 00:41:10.545336,16,128,128,0.3,4,0.3,0.1,1.1211225113665786e-07,4,COMPLETE
42,0.7600393041799276,2024-09-10 10:54:58.834633,2024-09-10 11:36:10.760662,0 days 00:41:11.926029,16,128,128,0.3,4,0.3,0.1,2.7221187985925704e-05,4,COMPLETE
