,number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_decomposition,params_distil,params_dropout,params_e_layers,params_embed_type,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_revin,params_stride,state
0,0,,2024-09-18 15:50:08.621388,2024-09-18 15:51:31.136281,0 days 00:01:22.514893,elu,16,640,128,0,True,0.4,3,0,0.1,0.2,31,0.001,8,32,1,8,FAIL
1,1,0.6472235288316004,2024-09-18 15:51:31.147294,2024-09-18 16:13:32.607290,0 days 00:22:01.459996,gelu,32,320,128,0,False,0.30000000000000004,5,0,0.4,0.2,31,5e-06,8,16,1,4,COMPLETE
2,2,0.6554808917861898,2024-09-18 16:13:32.621245,2024-09-18 16:40:00.156977,0 days 00:26:27.535732,relu,16,640,128,0,True,0.1,5,1,0.2,0.2,15,1e-05,32,8,1,4,COMPLETE
3,3,0.6150232866241555,2024-09-18 16:40:00.169581,2024-09-18 17:01:32.853254,0 days 00:21:32.683673,gelu,48,512,128,1,False,0.5,3,1,0.30000000000000004,0.2,15,1e-05,8,16,1,4,COMPLETE
4,4,0.73688734508776,2024-09-18 17:01:32.865608,2024-09-18 17:01:49.460637,0 days 00:00:16.595029,gelu,16,640,384,0,True,0.1,5,1,0.1,0.0,25,0.001,32,4,0,4,COMPLETE
5,5,0.651396367647003,2024-09-18 17:01:49.472962,2024-09-18 17:36:29.543149,0 days 00:34:40.070187,gelu,16,256,256,1,True,0.4,5,0,0.2,0.0,31,5e-05,16,4,1,8,COMPLETE
6,6,,2024-09-18 17:36:29.555459,2024-09-18 17:36:40.804910,0 days 00:00:11.249451,elu,48,512,128,0,False,0.4,4,1,0.2,0.2,31,5e-05,8,32,0,16,FAIL
7,7,0.6439854030658114,2024-09-18 17:36:40.821139,2024-09-18 17:44:34.315062,0 days 00:07:53.493923,gelu,32,384,192,1,False,0.1,5,0,0.1,0.1,25,5e-05,32,4,1,16,COMPLETE
8,8,,2024-09-18 17:44:34.327489,2024-09-18 17:45:16.076382,0 days 00:00:41.748893,relu,32,192,128,1,False,0.1,3,1,0.4,0.2,15,0.0005,16,16,0,8,FAIL
9,9,,2024-09-18 17:45:16.086566,2024-09-18 17:45:29.610696,0 days 00:00:13.524130,gelu,16,192,384,1,True,0.2,3,0,0.1,0.1,15,0.001,16,16,0,4,FAIL
