,number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_distil,params_dropout,params_e_layers,params_embed_type,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0,0.4978221245215597,2024-09-24 13:33:20.216027,2024-09-24 13:43:32.246821,0 days 00:10:12.030794,gelu,48,512,256,True,0.30000000000000004,5,0,0.2,0.1,31,1e-05,16,16,8,COMPLETE
1,1,0.701464032099599,2024-09-24 13:43:32.261727,2024-09-24 14:05:45.465145,0 days 00:22:13.203418,relu,64,384,512,False,0.1,3,1,0.5,0.0,25,5e-05,16,4,4,COMPLETE
2,2,0.5699933520979299,2024-09-24 14:05:45.478305,2024-09-24 14:13:28.794692,0 days 00:07:43.316387,gelu,32,256,256,False,0.4,3,2,0.1,0.2,25,0.0005,32,8,4,COMPLETE
3,3,,2024-09-24 14:13:28.807640,2024-09-24 14:14:41.961054,0 days 00:01:13.153414,elu,48,640,256,False,0.5,3,2,0.5,0.1,25,0.001,16,4,8,FAIL
4,4,0.5301942543538541,2024-09-24 14:14:41.971851,2024-09-24 14:15:24.295530,0 days 00:00:42.323679,elu,32,640,512,True,0.2,3,4,0.4,0.2,31,0.001,8,16,4,COMPLETE
5,5,0.5747970777681257,2024-09-24 14:15:24.308747,2024-09-24 14:17:07.276677,0 days 00:01:42.967930,gelu,48,384,256,False,0.30000000000000004,4,0,0.30000000000000004,0.0,25,0.001,32,8,8,COMPLETE
6,6,,2024-09-24 14:17:07.289866,2024-09-24 14:18:44.119218,0 days 00:01:36.829352,relu,48,256,384,False,0.1,5,3,0.30000000000000004,0.2,15,0.001,32,4,4,FAIL
7,7,0.6179875776220806,2024-09-24 14:18:44.130035,2024-09-24 14:22:55.287552,0 days 00:04:11.157517,gelu,64,384,256,False,0.5,5,1,0.30000000000000004,0.1,25,0.001,32,8,16,COMPLETE
8,8,,2024-09-24 14:22:55.300406,2024-09-24 14:23:41.450788,0 days 00:00:46.150382,relu,32,512,512,True,0.4,3,4,0.5,0.0,31,0.001,16,4,4,FAIL
9,9,0.6148145320673553,2024-09-24 14:23:41.461422,2024-09-24 14:38:43.061979,0 days 00:15:01.600557,elu,64,384,128,False,0.5,4,1,0.30000000000000004,0.0,31,1e-06,8,4,16,COMPLETE
10,10,0.6442339881343009,2024-09-24 14:38:43.074700,2024-09-24 14:44:03.329799,0 days 00:05:20.255099,gelu,48,320,128,True,0.1,5,4,0.4,0.1,15,0.0005,16,16,4,COMPLETE
11,11,0.49675262786542596,2024-09-24 14:44:03.342642,2024-09-24 14:57:34.975432,0 days 00:13:31.632790,gelu,48,512,256,True,0.1,5,3,0.2,0.1,15,5e-06,8,4,16,COMPLETE
12,12,0.6351060439956452,2024-09-24 14:57:34.988312,2024-09-24 15:15:19.034459,0 days 00:17:44.046147,elu,48,384,192,False,0.5,4,2,0.5,0.1,15,1e-06,16,16,8,COMPLETE
