number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0.5284251876010557,2024-10-10 12:57:36.233191,2024-10-10 13:22:11.916347,0 days 00:24:35.683156,elu,16,256,384,0.2,5,0.1,0.1,25,1e-06,32,4,16,COMPLETE
1,0.5340307624272743,2024-10-10 13:22:11.931308,2024-10-10 13:33:36.632956,0 days 00:11:24.701648,elu,48,320,512,0.5,3,0.30000000000000004,0.5,25,0.0001,16,4,4,COMPLETE
2,0.5286013874877351,2024-10-10 13:33:36.646038,2024-10-10 14:05:22.362087,0 days 00:31:45.716049,elu,32,128,32,0.2,6,0.4,0.30000000000000004,25,5e-06,32,16,4,COMPLETE
3,0.5291507165462058,2024-10-10 14:05:22.375041,2024-10-10 14:25:57.081123,0 days 00:20:34.706082,gelu,16,640,64,0.2,3,0.5,0.1,15,1e-06,32,16,8,COMPLETE
4,0.5289157833639668,2024-10-10 14:25:57.094060,2024-10-10 14:32:35.214783,0 days 00:06:38.120723,relu,32,512,512,0.30000000000000004,6,0.30000000000000004,0.1,15,1e-05,8,16,8,COMPLETE
5,0.5292077223918962,2024-10-10 14:32:35.234993,2024-10-10 14:52:11.977183,0 days 00:19:36.742190,relu,32,256,512,0.30000000000000004,6,0.5,0.5,31,5e-06,4,8,16,COMPLETE
6,0.5321150205221045,2024-10-10 14:52:11.990030,2024-10-10 15:06:21.848642,0 days 00:14:09.858612,relu,48,128,192,0.4,3,0.1,0.1,31,1e-05,16,16,16,COMPLETE
7,0.5307192410276254,2024-10-10 15:06:21.861513,2024-10-10 15:13:13.472001,0 days 00:06:51.610488,relu,64,320,512,0.2,3,0.5,0.4,15,5e-05,32,4,4,COMPLETE
8,0.5314948660189881,2024-10-10 15:13:13.485231,2024-10-10 15:33:34.624258,0 days 00:20:21.139027,gelu,16,128,256,0.2,3,0.2,0.1,15,1e-06,8,4,16,COMPLETE
9,0.5380349912245547,2024-10-10 15:33:34.637429,2024-10-10 15:53:57.672913,0 days 00:20:23.035484,elu,16,320,256,0.30000000000000004,3,0.4,0.2,15,1e-05,4,16,16,COMPLETE
10,,2024-10-10 15:53:57.686505,2024-10-10 15:58:22.488571,0 days 00:04:24.802066,elu,64,192,128,0.1,4,0.4,0.30000000000000004,15,0.0005,4,8,16,FAIL
11,0.5372196348861956,2024-10-10 15:58:22.499264,2024-10-10 16:06:04.930051,0 days 00:07:42.430787,elu,64,384,256,0.1,4,0.4,0.30000000000000004,15,0.0005,4,8,16,COMPLETE
12,0.5372196348861956,2024-10-10 16:06:04.943203,2024-10-10 16:13:47.629773,0 days 00:07:42.686570,elu,64,384,256,0.1,4,0.4,0.30000000000000004,15,0.0005,4,8,16,COMPLETE
13,0.5415849007061815,2024-10-10 16:13:47.642825,2024-10-10 16:28:05.231033,0 days 00:14:17.588208,elu,64,384,128,0.4,4,0.4,0.2,15,0.0005,4,8,16,COMPLETE
14,0.5351000538964359,2024-10-10 16:28:05.244133,2024-10-10 16:35:27.907137,0 days 00:07:22.663004,elu,64,192,128,0.4,4,0.4,0.2,15,0.0005,4,8,16,COMPLETE
15,0.5294892967206092,2024-10-10 16:35:27.920272,2024-10-10 17:00:05.974706,0 days 00:24:38.054434,elu,16,320,128,0.4,5,0.30000000000000004,0.2,31,1e-05,4,16,16,COMPLETE
16,0.5349048520611931,2024-10-10 17:00:05.987810,2024-10-10 17:21:01.818780,0 days 00:20:55.830970,gelu,64,384,128,0.4,4,0.2,0.2,15,0.0001,4,8,8,COMPLETE
17,0.5280727878276972,2024-10-10 17:21:01.832095,2024-10-10 17:52:40.416752,0 days 00:31:38.584657,elu,16,192,64,0.5,5,0.4,0.2,15,5e-05,4,16,16,COMPLETE
18,0.5286255717859067,2024-10-10 17:52:40.429232,2024-10-10 18:14:52.720546,0 days 00:22:12.291314,elu,48,512,192,0.30000000000000004,4,0.2,0.2,15,1e-05,4,8,16,COMPLETE
19,0.5377758737441439,2024-10-10 18:14:52.733509,2024-10-10 18:22:02.516128,0 days 00:07:09.782619,elu,64,640,384,0.5,3,0.5,0.4,31,0.0005,16,16,8,COMPLETE
20,0.534156866267741,2024-10-10 18:22:02.532910,2024-10-10 18:44:46.835530,0 days 00:22:44.302620,gelu,16,384,32,0.4,4,0.4,0.4,25,0.0005,8,8,4,COMPLETE
21,0.5303685687041362,2024-10-10 18:44:46.848794,2024-10-10 19:03:39.316381,0 days 00:18:52.467587,elu,64,320,256,0.30000000000000004,5,0.30000000000000004,0.30000000000000004,15,1e-05,4,16,16,COMPLETE
22,0.5377758737441439,2024-10-10 19:03:39.329559,2024-10-10 19:10:51.608306,0 days 00:07:12.278747,elu,64,640,384,0.5,3,0.5,0.4,31,0.0005,16,16,8,COMPLETE
23,0.5377758737441439,2024-10-10 19:10:51.621713,2024-10-10 19:18:02.519948,0 days 00:07:10.898235,elu,64,640,384,0.5,3,0.5,0.4,31,0.0005,16,16,8,COMPLETE
24,0.5428770332084962,2024-10-10 19:18:02.533261,2024-10-10 19:25:35.045106,0 days 00:07:32.511845,elu,64,640,384,0.4,3,0.4,0.2,31,0.0005,16,16,8,COMPLETE
25,0.5387000594242755,2024-10-10 19:25:35.057766,2024-10-10 19:31:44.247165,0 days 00:06:09.189399,elu,64,640,128,0.4,4,0.4,0.2,31,0.0005,16,16,8,COMPLETE
26,0.5402495819571316,2024-10-10 19:31:44.260503,2024-10-10 19:41:06.528575,0 days 00:09:22.268072,elu,64,640,128,0.4,4,0.4,0.2,31,0.0005,16,8,8,COMPLETE
