,number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0,0.644846899169767,2024-10-08 11:52:51.947234,2024-10-08 12:04:35.355400,0 days 00:11:43.408166,elu,16,128,384,0.5,3,0.1,0.2,15,1e-05,16,4,8,COMPLETE
1,1,0.7186840286652845,2024-10-08 12:04:35.372761,2024-10-08 12:15:57.970248,0 days 00:11:22.597487,gelu,64,192,256,0.4,5,0.1,0.30000000000000004,25,0.0005,8,4,8,COMPLETE
2,2,0.7589945850255129,2024-10-08 12:15:57.982338,2024-10-08 12:35:15.201251,0 days 00:19:17.218913,gelu,32,640,384,0.2,5,0.4,0.5,31,0.0001,8,4,4,COMPLETE
3,3,0.6264092423769086,2024-10-08 12:35:15.213372,2024-10-08 12:48:37.290258,0 days 00:13:22.076886,gelu,32,640,512,0.5,6,0.2,0.5,25,1e-05,16,16,4,COMPLETE
4,4,0.7269983101871574,2024-10-08 12:48:37.302431,2024-10-08 13:00:13.975106,0 days 00:11:36.672675,relu,32,320,384,0.30000000000000004,3,0.2,0.4,15,5e-05,32,8,8,COMPLETE
5,5,0.6552080079141935,2024-10-08 13:00:13.988015,2024-10-08 13:31:09.182779,0 days 00:30:55.194764,gelu,48,192,192,0.1,3,0.2,0.5,25,1e-06,32,8,4,COMPLETE
6,6,0.733177960485833,2024-10-08 13:31:09.195564,2024-10-08 13:45:49.270886,0 days 00:14:40.075322,gelu,16,512,256,0.5,3,0.4,0.5,31,0.0005,8,8,8,COMPLETE
7,7,0.7629087264396542,2024-10-08 13:45:49.283767,2024-10-08 13:58:22.411612,0 days 00:12:33.127845,elu,48,640,512,0.1,5,0.1,0.4,31,0.0001,4,16,16,COMPLETE
8,8,,2024-10-08 13:58:22.424505,2024-10-08 14:02:23.544616,0 days 00:04:01.120111,gelu,16,256,192,0.2,3,0.30000000000000004,0.5,15,0.0005,32,8,16,FAIL
9,9,0.7415181572046614,2024-10-08 14:04:36.273046,2024-10-08 14:27:08.368856,0 days 00:22:32.095810,gelu,16,384,384,0.30000000000000004,3,0.4,0.30000000000000004,15,0.0001,8,4,8,COMPLETE
10,10,,2024-10-08 14:27:08.384560,2024-10-08 14:37:22.124542,0 days 00:10:13.739982,relu,32,256,128,0.4,4,0.1,0.4,31,5e-05,8,8,4,FAIL
11,11,0.6528593100640898,2024-10-08 14:53:50.101040,2024-10-08 15:20:12.834274,0 days 00:26:22.733234,gelu,32,192,384,0.4,4,0.30000000000000004,0.2,31,5e-05,8,8,16,COMPLETE
12,12,0.7545804814783259,2024-10-08 15:20:12.850039,2024-10-08 15:31:30.719658,0 days 00:11:17.869619,elu,48,256,512,0.1,6,0.5,0.1,31,0.0001,4,16,16,COMPLETE
13,13,0.6399304668048811,2024-10-08 15:31:30.733049,2024-10-08 15:54:34.947915,0 days 00:23:04.214866,elu,48,640,32,0.2,5,0.4,0.4,31,5e-06,4,16,4,COMPLETE
14,14,0.6947499834332074,2024-10-08 15:54:34.960977,2024-10-08 16:03:14.936013,0 days 00:08:39.975036,relu,64,640,64,0.2,5,0.5,0.4,31,0.0001,4,16,16,COMPLETE
15,15,0.6786685978813439,2024-10-08 16:03:14.949056,2024-10-08 16:22:20.831428,0 days 00:19:05.882372,elu,48,640,128,0.2,4,0.30000000000000004,0.4,31,0.0001,4,4,16,COMPLETE
16,16,0.7404188321831245,2024-10-08 16:22:20.844549,2024-10-08 16:51:30.650000,0 days 00:29:09.805451,elu,32,640,512,0.1,5,0.4,0.5,31,0.0001,8,16,4,COMPLETE
17,17,0.5961279855726904,2024-10-08 16:51:30.662664,2024-10-08 17:21:08.723411,0 days 00:29:38.060747,relu,32,384,128,0.2,6,0.1,0.4,31,1e-06,4,4,16,COMPLETE
18,18,0.6522675205664896,2024-10-08 17:21:08.735975,2024-10-08 18:08:35.885096,0 days 00:47:27.149121,elu,48,512,192,0.1,4,0.30000000000000004,0.5,31,5e-06,32,16,4,COMPLETE
19,19,0.6356861728815806,2024-10-08 18:08:35.897874,2024-10-08 18:14:44.659900,0 days 00:06:08.762026,gelu,64,320,32,0.2,5,0.2,0.30000000000000004,31,0.0001,16,4,16,COMPLETE
20,20,0.7049705111092177,2024-10-08 18:14:44.673234,2024-10-08 18:28:50.218927,0 days 00:14:05.545693,elu,32,256,64,0.30000000000000004,4,0.5,0.4,25,0.0001,8,4,4,COMPLETE
21,21,,2024-10-08 18:28:50.231648,2024-10-08 18:38:54.091138,0 days 00:10:03.859490,relu,48,128,512,0.1,6,0.4,0.2,15,0.0001,4,16,4,FAIL
22,22,0.7754380733293573,2024-10-08 18:38:54.101581,2024-10-08 19:05:14.086153,0 days 00:26:19.984572,relu,48,128,512,0.1,6,0.4,0.2,15,0.0001,4,16,16,COMPLETE
23,23,0.679181458445751,2024-10-08 19:05:14.098756,2024-10-08 19:16:42.654586,0 days 00:11:28.555830,relu,48,128,512,0.1,6,0.30000000000000004,0.2,15,5e-06,4,16,16,COMPLETE
24,24,0.7614046983423741,2024-10-08 19:16:42.667977,2024-10-08 19:29:40.541292,0 days 00:12:57.873315,relu,48,128,512,0.1,6,0.4,0.1,15,0.0001,4,16,16,COMPLETE
25,25,0.7614046983423741,2024-10-08 19:29:40.554187,2024-10-08 19:42:39.841377,0 days 00:12:59.287190,relu,48,128,512,0.1,6,0.4,0.1,15,0.0001,4,16,16,COMPLETE
26,26,0.7614046983423741,2024-10-08 19:42:39.854859,2024-10-08 19:55:40.865994,0 days 00:13:01.011135,relu,48,128,512,0.1,6,0.5,0.1,15,0.0001,4,16,16,COMPLETE
27,27,0.7754380733293573,2024-10-08 19:55:40.879312,2024-10-08 20:22:02.712896,0 days 00:26:21.833584,relu,48,128,512,0.1,6,0.4,0.2,15,0.0001,4,16,16,COMPLETE
28,28,0.6599320288167524,2024-10-08 20:22:02.726303,2024-10-08 20:29:52.396215,0 days 00:07:49.669912,relu,48,128,512,0.2,6,0.30000000000000004,0.2,15,1e-05,4,16,16,COMPLETE
29,29,0.61963235920593,2024-10-08 20:29:52.409599,2024-10-08 20:32:02.521454,0 days 00:02:10.111855,relu,48,128,512,0.1,5,0.5,0.2,15,0.0005,4,16,16,COMPLETE
30,30,0.6006713101019568,2024-10-08 20:32:02.534185,2024-10-08 20:53:18.502726,0 days 00:21:15.968541,relu,48,128,512,0.4,6,0.4,0.30000000000000004,15,1e-06,4,16,16,COMPLETE
31,31,0.7169278303181772,2024-10-08 20:53:18.515690,2024-10-08 21:06:08.990066,0 days 00:12:50.474376,relu,48,320,512,0.2,5,0.2,0.2,15,5e-05,4,16,16,COMPLETE
32,32,0.6856564709891795,2024-10-08 21:06:09.003619,2024-10-08 21:45:26.749738,0 days 00:39:17.746119,elu,16,128,32,0.1,6,0.1,0.30000000000000004,15,1e-05,16,16,16,COMPLETE
33,33,0.6916083278899585,2024-10-08 21:45:26.762521,2024-10-08 21:54:45.974362,0 days 00:09:19.211841,elu,48,256,64,0.1,6,0.30000000000000004,0.2,15,0.0001,4,16,16,COMPLETE
34,34,0.7614046983423741,2024-10-08 21:54:45.987240,2024-10-08 22:07:51.032355,0 days 00:13:05.045115,relu,48,128,512,0.1,6,0.4,0.1,15,0.0001,4,16,16,COMPLETE
35,35,0.7614046983423741,2024-10-08 22:07:51.045639,2024-10-08 22:20:55.976797,0 days 00:13:04.931158,relu,48,128,512,0.1,6,0.4,0.1,15,0.0001,4,16,16,COMPLETE
36,36,0.6816295570513002,2024-10-08 22:20:55.990379,2024-10-08 22:31:04.543004,0 days 00:10:08.552625,relu,64,128,256,0.2,5,0.4,0.1,15,0.0001,4,16,16,COMPLETE
37,37,0.7515815370196814,2024-10-08 22:31:04.556428,2024-10-08 22:41:12.147763,0 days 00:10:07.591335,relu,48,128,512,0.1,6,0.1,0.2,25,0.0001,16,16,8,COMPLETE
38,38,0.7614857572917554,2024-10-08 22:41:12.160749,2024-10-08 22:57:00.646010,0 days 00:15:48.485261,relu,48,384,512,0.2,5,0.5,0.30000000000000004,15,0.0005,32,16,16,COMPLETE
39,39,0.7125216551645792,2024-10-08 22:57:00.658860,2024-10-08 23:35:46.843924,0 days 00:38:46.185064,relu,16,384,192,0.2,5,0.5,0.30000000000000004,25,0.0005,32,8,16,COMPLETE
